cenario,protocolo,tempo_s,throughput_kbps
C,RUDP,325.9209,3.00
C,RUDP,286.1017,3.41
C,RUDP,281.9451,3.46
C,RUDP,329.6474,2.96
C,RUDP,305.3349,3.20
C,RUDP,293.3991,3.33
C,RUDP,303.2014,3.22
C,RUDP,328.8017,2.97
C,RUDP,302.0736,3.23
C,RUDP,299.7197,3.26
A,RUDP,9.3141,104.85
A,RUDP,11.4552,85.25
A,RUDP,9.0730,107.63
A,RUDP,11.5497,84.55
A,RUDP,11.5507,84.55
A,RUDP,9.1507,106.72
A,RUDP,11.6117,84.10
A,RUDP,9.0804,107.55
A,RUDP,11.6452,83.86
A,RUDP,9.1563,106.65
B,RUDP,145.0067,6.73
B,RUDP,134.9969,7.23
B,RUDP,140.9955,6.93
B,RUDP,158.2703,6.17
B,RUDP,128.7775,7.58
B,RUDP,162.5233,6.01
B,RUDP,134.3136,7.27
B,RUDP,160.4555,6.09
B,RUDP,126.8828,7.70
B,RUDP,156.1301,6.25
A,TCP,0.0439,22220.53
A,TCP,0.0457,21357.25
A,TCP,0.0438,22306.33
A,TCP,0.0442,22091.34
A,TCP,0.0453,21580.84
A,TCP,0.0453,21543.72
A,TCP,0.0567,17209.87
A,TCP,0.0460,21213.13
A,TCP,0.0436,22401.49
A,TCP,0.0442,22109.35
B,TCP,1.6272,600.14
B,TCP,5.5944,174.56
B,TCP,1.6221,602.03
B,TCP,0.3210,3042.67
B,TCP,0.3737,2613.42
B,TCP,6.6891,145.99
B,TCP,1.7279,565.17
B,TCP,5.4302,179.84
B,TCP,7.1102,137.35
B,TCP,5.8761,166.19
C,TCP,15.9280,61.31
C,TCP,16.0652,60.79
C,TCP,16.8219,58.05
C,TCP,18.9904,51.42
C,TCP,19.0192,51.35
C,TCP,17.3145,56.40
C,TCP,13.8717,70.40
C,TCP,20.6873,47.21
C,TCP,8.8081,110.87
C,TCP,22.3730,43.65
